player,transfer fee
Neymar,222000000
Neymar,222000000
Neymar,222000000
Neymar,222000000
Kylian Mbappé,135000000
Kylian Mbappé,135000000
Kylian Mbappé,135000000
Kylian Mbappé,135000000
Edinson Cavani,64500000
Edinson Cavani,64500000
Edinson Cavani,64500000
Edinson Cavani,64500000
Edinson Cavani,64500000
Edinson Cavani,64500000
Edinson Cavani,64500000
Ángel Di María,63000000
Ángel Di María,63000000
Ángel Di María,63000000
Ángel Di María,63000000
Ángel Di María,63000000
Ángel Di María,63000000
David Luiz,49500000
David Luiz,49500000
David Luiz,49500000
Javier Pastore,42000000
Javier Pastore,42000000
Javier Pastore,42000000
Thiago Silva,42000000
Javier Pastore,42000000
Thiago Silva,42000000
Javier Pastore,42000000
Javier Pastore,42000000
Javier Pastore,42000000
Thiago Silva,42000000
Thiago Silva,42000000
Thiago Silva,42000000
Lucas Moura,40000000
Lucas Moura,40000000
Lucas Moura,40000000
Lucas Moura,40000000
Julian Draxler,40000000
Lucas Moura,40000000
Julian Draxler,40000000
Lucas Moura,40000000
Julian Draxler,40000000
Julian Draxler,40000000
Julian Draxler,40000000
Marquinhos,31400000
Marquinhos,31400000
Marquinhos,31400000
Marquinhos,31400000
Marquinhos,31400000
Marquinhos,31400000
Marquinhos,31400000
Marquinhos,31400000
Gonçalo Guedes,30000000
Gonçalo Guedes,30000000
Ezequiel Lavezzi,28950000
Ezequiel Lavezzi,28950000
Ezequiel Lavezzi,28950000
Ezequiel Lavezzi,28950000
Grzegorz Krychowiak,27500000
Yohan Cabaye,25000000
Yohan Cabaye,25000000
Layvin Kurzawa,25000000
Jesé,25000000
Layvin Kurzawa,25000000
Layvin Kurzawa,25000000
Layvin Kurzawa,25000000
Jesé,25000000
Layvin Kurzawa,25000000
Jesé,25000000
Layvin Kurzawa,25000000
Zlatan Ibrahimovic,21000000
Zlatan Ibrahimovic,21000000
Zlatan Ibrahimovic,21000000
Zlatan Ibrahimovic,21000000
Yuri Berchiche,16000000
Lucas Digne,15000000
Lucas Digne,15000000
Marco Verratti,12000000
Thiago Motta,11500000
Thiago Motta,11500000
Thiago Motta,11500000
Thiago Motta,11500000
Thiago Motta,11500000
Thiago Motta,11500000
Thiago Motta,11500000
Kévin Gameiro,11000000
Kévin Gameiro,11000000
Serge Aurier,10000000
Serge Aurier,10000000
Giovani Lo Celso,10000000
Serge Aurier,10000000
Giovani Lo Celso,10000000
Giovani Lo Celso,10000000
Blaise Matuidi,8000000
Jérémy Ménez,8000000
Mohamed Sissoko,8000000
Blaise Matuidi,8000000
Jérémy Ménez,8000000
Blaise Matuidi,8000000
Jérémy Ménez,8000000
Blaise Matuidi,8000000
Blaise Matuidi,8000000
Blaise Matuidi,8000000
Blaise Matuidi,8000000
Gregory van der Wiel,6000000
Gregory van der Wiel,6000000
Gregory van der Wiel,6000000
Gregory van der Wiel,6000000
Nenê,5000000
Alex,5000000
Nenê,5000000
Alex,5000000
Nenê,5000000
Alex,5000000
Salvatore Sirigu,3900000
Salvatore Sirigu,3900000
Salvatore Sirigu,3900000
Maxwell,3500000
Maxwell,3500000
Maxwell,3500000
Maxwell,3500000
Maxwell,3500000
Maxwell,3500000
