Season,Rank,Team,Revenue
2017-2018,1,Real Madrid,750.9
2017-2018,2,FC Barcelona,690.4
2017-2018,3,Manchester United,665.8
2017-2018,4,Bayern Munich,629.2
2017-2018,5,Manchester City,568.4
2017-2018,6,Paris Saint-Germain,541.7
2017-2018,7,Liverpool,513.7
2017-2018,8,Chelsea,505.7
2017-2018,9,Arsenal,439.2
2017-2018,10,Tottenham Hotspur,428.3
2017-2018,11,Juventus,394.5
2017-2018,12,Borussia Dortmund,317.2
2017-2018,13,Atlético de Madrid,304.4
2017-2018,14,FC Internazionale Milano,280.8
2017-2018,15,AS Roma,250
2017-2018,16,Schalke 04,243.8
2017-2018,17,Everton,212.9
2017-2018,18,AC Milan,207.7
2017-2018,19,Newcastle United,201.5
2017-2018,20,West Ham United,197.9
